u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,junction,access,width,ref
246073361,246117805,0,22883965,True,2,Largo Brindisi,primary,50,False,110.013,"LINESTRING (12.5101378 41.8854971, 12.5102487 41.8854866, 12.5103055 41.8854804, 12.5103486 41.8854748, 12.5103872 41.8854688, 12.5105627 41.8854334, 12.5112539 41.8852991, 12.5113339 41.8852822, 12.5114269 41.8852611)",,,,,,
246073361,246113348,0,33600914,False,2,Piazzale Appio,primary,50,True,18.695,"LINESTRING (12.5101378 41.8854971, 12.5101335 41.8854951, 12.5099603 41.8853932)",,,,,,
246073526,330364374,0,22885287,False,2,Via Terni,residential,50,False,156.601,"LINESTRING (12.5152814 41.8853672, 12.5154339 41.8853584, 12.51656 41.8852977, 12.5171135 41.8852676, 12.5171681 41.8852647)",,,,,,
246073526,246073528,0,185331817,False,4,Via Monza,primary,50,False,108.558,"LINESTRING (12.5152814 41.8853672, 12.5153369 41.8855712, 12.5153512 41.8856374, 12.5153577 41.8856705, 12.5153622 41.8857031, 12.5153669 41.8857352, 12.5153696 41.8857668, 12.5153738 41.88583, 12.51537 41.8859605, 12.5153664 41.8860647, 12.5153585 41.8861367, 12.5153522 41.886219, 12.5153441 41.8862646, 12.5153265 41.8863356)",,,,,,
246073528,3612943664,0,33600913,True,2,Via La Spezia,primary,50,False,73.73,"LINESTRING (12.5153265 41.8863356, 12.5151667 41.8863095, 12.5146468 41.8862254, 12.5145591 41.8862101, 12.5144566 41.8861933)",,,,,,
246073528,246123280,0,"[171462538, 161376211]",False,4,Via La Spezia,secondary,50,False,309.444,"LINESTRING (12.5153265 41.8863356, 12.5153999 41.8863469, 12.5154861 41.8863602, 12.5169804 41.8865906, 12.5171347 41.8866154, 12.5174919 41.8866708, 12.5175354 41.8866778, 12.5188782 41.886894, 12.5189838 41.886911)",,,,,,
246073528,261719505,0,171462540,False,6,Via Nola,primary,50,False,69.62700000000001,"LINESTRING (12.5153265 41.8863356, 12.5152945 41.8864642, 12.5151816 41.8869524)",,,,,,
246073528,246073526,0,185331817,False,4,Via Monza,primary,50,True,108.55799999999999,"LINESTRING (12.5153265 41.8863356, 12.5153441 41.8862646, 12.5153522 41.886219, 12.5153585 41.8861367, 12.5153664 41.8860647, 12.51537 41.8859605, 12.5153738 41.88583, 12.5153696 41.8857668, 12.5153669 41.8857352, 12.5153622 41.8857031, 12.5153577 41.8856705, 12.5153512 41.8856374, 12.5153369 41.8855712, 12.5152814 41.8853672)",,,,,,
246073937,3612943664,0,159096035,True,,Via Isernia,residential,,False,116.61800000000001,"LINESTRING (12.5141683 41.8851879, 12.5143212 41.885553, 12.5144861 41.8859124, 12.5144934 41.8859371, 12.514498 41.8859578, 12.5145023 41.885983, 12.5145047 41.8860067, 12.5145049 41.8860264, 12.5145032 41.886049, 12.5145011 41.8860663, 12.5144971 41.8860857, 12.5144788 41.8861377, 12.5144566 41.8861933)",,,,,,
246111803,8831253543,0,27628159,True,,Via La Spezia,primary,50,False,2.803,"LINESTRING (12.5128038 41.8859232, 12.5127707 41.8859179)",,,,,,
246111804,246111803,0,22884876,True,2,Via San Severo,residential,,False,88.707,"LINESTRING (12.5125455 41.8866973, 12.5127749 41.886031, 12.5128038 41.8859232)",,,,,,
246113348,6465507338,0,904680896,False,2,Piazzale Appio,primary,50,True,8.617,"LINESTRING (12.5099603 41.8853932, 12.509879 41.8853448)",,,,,,
246113348,3623024131,0,22878456,True,2,Piazzale Appio,primary,50,False,48.087999999999994,"LINESTRING (12.5099603 41.8853932, 12.5099218 41.8854283, 12.5098931 41.8854566, 12.5098519 41.8855035, 12.5097904 41.8855791, 12.5097543 41.8856263, 12.5097383 41.8856513, 12.5097094 41.8856974, 12.5096686 41.8857653)",,,,,,
246113348,246073361,0,33600914,False,2,Piazzale Appio,primary,50,False,18.695,"LINESTRING (12.5099603 41.8853932, 12.5101335 41.8854951, 12.5101378 41.8854971)",,,,,,
246117196,1223204887,0,22885077,False,,Via Altamura,residential,,True,76.489,"LINESTRING (12.5113623 41.8864088, 12.5113795 41.8863509, 12.5115303 41.8858408, 12.5115577 41.8857365)",,,,,,
246117196,246111804,0,484797226,True,3,Viale Castrense,residential,50,False,105.657,"LINESTRING (12.5113623 41.8864088, 12.5123569 41.8867207, 12.5123884 41.8867278, 12.5124392 41.8867264, 12.5124694 41.8867199, 12.5124926 41.886713, 12.5125455 41.8866973)",,,,,,
246117411,246245674,0,22885068,True,1,Piazza di Porta San Giovanni,secondary_link,50,False,63.04700000000001,"LINESTRING (12.5094047 41.8861161, 12.5094166 41.8861449, 12.5094278 41.8861747, 12.5094336 41.8862019, 12.5094338 41.886227, 12.5094298 41.8862461, 12.50935 41.886445, 12.5093399 41.8864744, 12.5093359 41.8864992, 12.5093364 41.8865186, 12.5093401 41.88654, 12.5093426 41.8865507, 12.5093491 41.8865655, 12.5093614 41.8865856, 12.509408 41.8866594)",,,,,,
246117411,246247333,0,128565532,True,6,Piazza di Porta San Giovanni,primary,50,False,69.63600000000001,"LINESTRING (12.5094047 41.8861161, 12.5090833 41.8863317, 12.5090374 41.8863596, 12.5089886 41.8863858, 12.5089499 41.8864012, 12.5089321 41.8864086, 12.5089083 41.886415, 12.5087227 41.8864696)",,,,,,
246117642,246117805,0,22885073,True,2,Via Faenza,primary,30,False,24.664,"LINESTRING (12.511207 41.8851116, 12.5113764 41.8852307, 12.5114269 41.8852611)",,,,,,
246117805,246118321,0,120513796,True,2,Via Taranto,primary,50,False,60.728,"LINESTRING (12.5114269 41.8852611, 12.511964 41.8851389, 12.5121287 41.8851021)",,,,,,
246118321,734344358,0,120513796,True,2,Via Taranto,primary,50,False,49.005,"LINESTRING (12.5121287 41.8851021, 12.5126956 41.8849752)",,,,,,
246118759,246133380,0,22885521,True,2,Via Domenico Fontana,secondary,50,False,91.05200000000002,"LINESTRING (12.5079049 41.8880976, 12.5078772 41.8880854, 12.507771 41.8880387, 12.5077434 41.888028, 12.5076421 41.8879916, 12.5071285 41.8877944, 12.5069239 41.8877285)",,,,,,
246118759,266492115,0,24504689,False,,Via Amedeo Ottavo,residential,,False,88.19300000000001,"LINESTRING (12.5079049 41.8880976, 12.5080298 41.888163, 12.5083367 41.888326, 12.5087623 41.8885516, 12.5087731 41.8885573)",,,,,,
246118759,256170960,0,124046218,False,4,Via Emanuele Filiberto,secondary,50,False,79.925,"LINESTRING (12.5079049 41.8880976, 12.5079753 41.887933, 12.5082384 41.8874233)",,,,,,
246118759,256170350,0,232707575,False,4,Via Emanuele Filiberto,secondary,50,True,100.024,"LINESTRING (12.5079049 41.8880976, 12.5078652 41.8881748, 12.5075165 41.8888499, 12.5074712 41.8889372)",,,,,,
246118760,259869643,0,"[23972412, 184143038]",True,1,Via San Quintino,residential,,False,154.159,"LINESTRING (12.5067111 41.8903662, 12.5067472 41.8903547, 12.506806 41.8903359, 12.5069622 41.8902527, 12.5070118 41.8902318, 12.5070612 41.8902165, 12.5071068 41.8902116, 12.5071577 41.8902083, 12.5076252 41.8901858, 12.5080676 41.8901644, 12.5084481 41.890146, 12.5085142 41.8901428)",,,,,,
246118760,1280631629,0,33605591,False,4,Viale Manzoni,secondary,50,False,55.727999999999994,"LINESTRING (12.5067111 41.8903662, 12.5067373 41.8903739, 12.5069313 41.8904312, 12.507231 41.8906673)",,,,,,
246118760,255463422,0,"[95640018, 122157084]",False,4,Via Emanuele Filiberto,secondary,50,False,15.052,"LINESTRING (12.5067111 41.8903662, 12.5066808 41.8904195, 12.506642 41.8904914)",,,,,,
246118760,256170350,0,112715261,False,4,Via Emanuele Filiberto,secondary,50,False,170.92,"LINESTRING (12.5067111 41.8903662, 12.5067345 41.8903261, 12.5067792 41.8902497, 12.5068239 41.8901731, 12.5068772 41.8900715, 12.5074212 41.8890352, 12.5074376 41.8890063, 12.5074712 41.8889372)",,,,,,
246123280,828145425,0,161376211,False,4,Via La Spezia,secondary,50,False,6.545,"LINESTRING (12.5189838 41.886911, 12.5190612 41.886923)",,,,,,
246123280,246123746,0,22885273,True,1,Via Foligno,residential,50,False,92.66,"LINESTRING (12.5189838 41.886911, 12.5189619 41.8867784, 12.5188601 41.8861611, 12.5188474 41.8860839)",,,,,,
246123280,246073528,0,"[171462538, 161376211]",False,4,Via La Spezia,secondary,50,True,309.44399999999996,"LINESTRING (12.5189838 41.886911, 12.5188782 41.886894, 12.5175354 41.8866778, 12.5174919 41.8866708, 12.5171347 41.8866154, 12.5169804 41.8865906, 12.5154861 41.8863602, 12.5153999 41.8863469, 12.5153265 41.8863356)",,,,,,
246123381,1382877282,0,161376211,False,4,Via La Spezia,secondary,50,False,5.538,"LINESTRING (12.5204354 41.8871276, 12.5205008 41.8871381)",,,,,,
246123381,246123487,0,22885279,True,1,Via Savona,residential,,False,125.658,"LINESTRING (12.5204354 41.8871276, 12.520404 41.8869955, 12.5201878 41.8860942, 12.5201688 41.8860151)",,,,,,
246123381,828145425,0,161376211,False,4,Via La Spezia,secondary,50,True,116.00999999999999,"LINESTRING (12.5204354 41.8871276, 12.5191008 41.8869288, 12.5190612 41.886923)",,,,,,
246123487,1382877281,0,49189905,False,2,Via Voghera,residential,50,False,5.677,"LINESTRING (12.5201688 41.8860151, 12.5202372 41.8860114)",,,,,,
