osmid,y,x,street_count,highway,geometry
252607430,41.8967341,12.4945073,3,,POINT (12.4945073 41.8967341)
252608212,41.8991404,12.4957634,4,,POINT (12.4957634 41.8991404)
252608214,41.8969338,12.4935658,4,,POINT (12.4935658 41.8969338)
252608901,41.8963404,12.496486,4,,POINT (12.496486 41.8963404)
252608902,41.897344,12.4978722,3,,POINT (12.4978722 41.897344)
252608905,41.8968522,12.4961471,1,,POINT (12.4961471 41.8968522)
252609162,41.8957863,12.4943572,3,,POINT (12.4943572 41.8957863)
252704519,41.9046471,12.4753858,3,,POINT (12.4753858 41.9046471)
252704520,41.9044185,12.4781289,3,,POINT (12.4781289 41.9044185)
252704521,41.9047956,12.476943,3,,POINT (12.476943 41.9047956)
252704522,41.904512,12.4768955,3,,POINT (12.4768955 41.904512)
252704523,41.9044937,12.4771737,3,,POINT (12.4771737 41.9044937)
252704524,41.9047787,12.4772016,1,,POINT (12.4772016 41.9047787)
252704525,41.903836,12.4770043,4,,POINT (12.4770043 41.903836)
252704526,41.904503,12.4770231,3,,POINT (12.4770231 41.904503)
252704527,41.9042399,12.4780908,4,,POINT (12.4780908 41.9042399)
252704528,41.904559,12.4789222,3,,POINT (12.4789222 41.904559)
252711040,41.8912259,12.5062708,3,,POINT (12.5062708 41.8912259)
252712458,41.893242,12.5067383,4,,POINT (12.5067383 41.893242)
252712459,41.8943383,12.5078139,3,,POINT (12.5078139 41.8943383)
252712460,41.8949281,12.5084148,4,,POINT (12.5084148 41.8949281)
252712461,41.8939792,12.5074825,3,,POINT (12.5074825 41.8939792)
252712465,41.8922586,12.5057542,4,,POINT (12.5057542 41.8922586)
252712466,41.8948542,12.5098707,3,,POINT (12.5098707 41.8948542)
252712467,41.8943609,12.509389,4,traffic_signals,POINT (12.509389 41.8943609)
252712468,41.8926624,12.5076993,3,,POINT (12.5076993 41.8926624)
252712469,41.8936134,12.5086516,3,,POINT (12.5086516 41.8936134)
252712935,41.8924263,12.5081899,4,,POINT (12.5081899 41.8924263)
252714269,41.8990038,12.5029151,3,,POINT (12.5029151 41.8990038)
252714270,41.8998067,12.5015364,3,,POINT (12.5015364 41.8998067)
252714272,41.8981434,12.5029419,3,,POINT (12.5029419 41.8981434)
252714280,41.8986723,12.5034795,3,,POINT (12.5034795 41.8986723)
252714281,41.8983537,12.504019,3,,POINT (12.504019 41.8983537)
252714282,41.8960401,12.5017204,3,,POINT (12.5017204 41.8960401)
252714283,41.8966797,12.5006014,3,,POINT (12.5006014 41.8966797)
252714284,41.8965758,12.5040306,3,,POINT (12.5040306 41.8965758)
252714285,41.8976908,12.5051381,4,,POINT (12.5051381 41.8976908)
252714289,41.8948577,12.5054543,3,,POINT (12.5054543 41.8948577)
252714291,41.8966242,12.5055244,3,,POINT (12.5055244 41.8966242)
252714292,41.8960468,12.5049368,4,,POINT (12.5049368 41.8960468)
252714293,41.8954733,12.5043516,3,,POINT (12.5043516 41.8954733)
252714294,41.8992737,12.501019,4,,POINT (12.501019 41.8992737)
252714295,41.8987476,12.5004859,4,,POINT (12.5004859 41.8987476)
252716626,41.8979203,12.5018334,4,,POINT (12.5018334 41.8979203)
252716627,41.8984643,12.5023893,4,,POINT (12.5023893 41.8984643)
252716629,41.8972681,12.5029358,4,,POINT (12.5029358 41.8972681)
252716630,41.8966486,12.5023222,4,,POINT (12.5023222 41.8966486)
252716631,41.897157,12.5046116,4,,POINT (12.5046116 41.897157)
252716632,41.8970994,12.5060157,3,,POINT (12.5060157 41.8970994)
252901199,41.890207,12.502931,4,,POINT (12.502931 41.890207)
253708865,41.8987147,12.5166499,4,,POINT (12.5166499 41.8987147)
253708866,41.896455,12.5187717,3,,POINT (12.5187717 41.896455)
253708867,41.8955065,12.5179323,3,,POINT (12.5179323 41.8955065)
253708868,41.8962943,12.5171758,3,,POINT (12.5171758 41.8962943)
253708869,41.8968488,12.516673,3,,POINT (12.516673 41.8968488)
253708872,41.8981174,12.5155006,4,,POINT (12.5155006 41.8981174)
253711275,41.8952557,12.5141724,3,,POINT (12.5141724 41.8952557)
253711276,41.8976394,12.512909,3,,POINT (12.512909 41.8976394)
253711277,41.8957818,12.5146583,3,,POINT (12.5146583 41.8957818)
253711657,41.8970524,12.513477,4,,POINT (12.513477 41.8970524)
253711659,41.8967032,12.5128064,4,,POINT (12.5128064 41.8967032)
253711661,41.896135,12.5117419,3,,POINT (12.5117419 41.896135)
253711662,41.8957722,12.512112,3,,POINT (12.512112 41.8957722)
253711665,41.8949767,12.5130937,3,,POINT (12.5130937 41.8949767)
253711667,41.8944532,12.5136481,3,,POINT (12.5136481 41.8944532)
253711668,41.8941454,12.5140262,3,,POINT (12.5140262 41.8941454)
253711683,41.8929414,12.5157133,3,,POINT (12.5157133 41.8929414)
253711685,41.8965917,12.511279,3,,POINT (12.511279 41.8965917)
253711691,41.8969591,12.5115818,4,,POINT (12.5115818 41.8969591)
253711693,41.8954867,12.512432,3,,POINT (12.512432 41.8954867)
253711694,41.8960153,12.5134616,4,,POINT (12.5134616 41.8960153)
253711696,41.8963559,12.5141241,4,,POINT (12.5141241 41.8963559)
253711699,41.8969783,12.5153309,1,,POINT (12.5153309 41.8969783)
253711700,41.8974072,12.5161665,4,,POINT (12.5161665 41.8974072)
253711705,41.8980117,12.5173145,4,,POINT (12.5173145 41.8980117)
253712451,41.8992162,12.5126695,3,,POINT (12.5126695 41.8992162)
253712452,41.8988028,12.5129768,3,,POINT (12.5129768 41.8988028)
253712454,41.8986094,12.5184398,4,,POINT (12.5184398 41.8986094)
253712455,41.8973796,12.5141072,4,,POINT (12.5141072 41.8973796)
253712474,41.8983161,12.5141968,3,,POINT (12.5141968 41.8983161)
253712475,41.8977222,12.5147661,4,,POINT (12.5147661 41.8977222)
253712476,41.8970178,12.5154129,3,,POINT (12.5154129 41.8970178)
253872927,41.9037829,12.4883274,3,,POINT (12.4883274 41.9037829)
253872929,41.9040182,12.4886197,3,,POINT (12.4886197 41.9040182)
253872932,41.903722,12.4890608,3,,POINT (12.4890608 41.903722)
253873481,41.9039977,12.485448,3,,POINT (12.485448 41.9039977)
253873617,41.9053149,12.4865611,3,,POINT (12.4865611 41.9053149)
253873618,41.9039034,12.487279,3,,POINT (12.487279 41.9039034)
253873619,41.9047217,12.4882511,3,,POINT (12.4882511 41.9047217)
253873620,41.9042902,12.4877353,4,,POINT (12.4877353 41.9042902)
