osmid,y,x,street_count,highway,ref,geometry
2569538722,41.7736098,12.3714742,3,,,POINT (12.3714742 41.7736098)
2572004741,41.7402914,12.3596431,1,,,POINT (12.3596431 41.7402914)
2572004742,41.7405178,12.3596678,3,,,POINT (12.3596678 41.7405178)
2573650560,41.9132278,12.6137673,3,,,POINT (12.6137673 41.9132278)
2573650561,41.9132858,12.6132881,1,,,POINT (12.6132881 41.9132858)
2574588094,41.8670127,12.4996904,1,,,POINT (12.4996904 41.8670127)
2575935223,41.9335298,12.3970338,3,,,POINT (12.3970338 41.9335298)
2575935224,41.9339202,12.3956488,1,,,POINT (12.3956488 41.9339202)
2575935226,41.9341327,12.3958562,4,,,POINT (12.3958562 41.9341327)
2575935227,41.9343076,12.3955064,1,,,POINT (12.3955064 41.9343076)
2575935228,41.9348452,12.3978358,4,,,POINT (12.3978358 41.9348452)
2575935229,41.9353235,12.3969977,3,,,POINT (12.3969977 41.9353235)
2575935230,41.9357127,12.4002479,3,,,POINT (12.4002479 41.9357127)
2575935233,41.9363437,12.3992823,3,,,POINT (12.3992823 41.9363437)
2575935235,41.9365642,12.3989093,3,,,POINT (12.3989093 41.9365642)
2579481198,41.8289486,12.5637202,4,,,POINT (12.5637202 41.8289486)
2579481199,41.8291237,12.562858,3,,,POINT (12.562858 41.8291237)
2579481201,41.8291574,12.5639047,4,,,POINT (12.5639047 41.8291574)
2579481202,41.8293146,12.5630264,4,,,POINT (12.5630264 41.8293146)
2579481203,41.8293758,12.564102,4,,,POINT (12.564102 41.8293758)
2579481204,41.8295141,12.5632065,4,,,POINT (12.5632065 41.8295141)
2579481206,41.8298979,12.5645953,3,,,POINT (12.5645953 41.8298979)
2579960970,41.7658341,12.3325339,1,,,POINT (12.3325339 41.7658341)
2579961865,41.7755586,12.3325928,1,,,POINT (12.3325928 41.7755586)
2582362059,41.9026439,12.507085,3,crossing,,POINT (12.507085 41.9026439)
2582362060,41.9026606,12.5068534,3,,,POINT (12.5068534 41.9026606)
2582399472,41.7645115,12.4741707,1,,,POINT (12.4741707 41.7645115)
2584345943,41.8643461,12.6400334,1,,,POINT (12.6400334 41.8643461)
2584345951,41.8646461,12.6407547,3,,,POINT (12.6407547 41.8646461)
2584345952,41.8650385,12.6387646,3,,,POINT (12.6387646 41.8650385)
2584372151,41.8643753,12.6743056,3,,,POINT (12.6743056 41.8643753)
2586917061,41.9041023,12.436475,3,,,POINT (12.436475 41.9041023)
2596555061,41.8705659,12.5305365,3,,,POINT (12.5305365 41.8705659)
2603011237,41.7273207,12.3399221,2,,,POINT (12.3399221 41.7273207)
2605998700,41.8159012,12.4841115,3,,,POINT (12.4841115 41.8159012)
2605998702,41.8159489,12.48435,3,,,POINT (12.48435 41.8159489)
2606846814,41.9054491,12.6847873,3,,,POINT (12.6847873 41.9054491)
2606846815,41.9058227,12.6844455,3,,,POINT (12.6844455 41.9058227)
2606846816,41.905858,12.6845603,2,,,POINT (12.6845603 41.905858)
2606846821,41.9062633,12.6847556,3,,,POINT (12.6847556 41.9062633)
2606846822,41.9063855,12.6846601,3,,,POINT (12.6846601 41.9063855)
2606846823,41.9063917,12.6848227,3,,,POINT (12.6848227 41.9063917)
2606846824,41.906405,12.6852665,1,,,POINT (12.6852665 41.906405)
2606846830,41.9066798,12.6844496,2,,,POINT (12.6844496 41.9066798)
2606846834,41.9069503,12.6841909,2,,,POINT (12.6841909 41.9069503)
2606846836,41.9070204,12.6836728,3,,,POINT (12.6836728 41.9070204)
2606846838,41.907303,12.6831886,3,,,POINT (12.6831886 41.907303)
2606846839,41.907457,12.6835768,3,,,POINT (12.6835768 41.907457)
2609646436,41.9200947,12.5309709,3,,,POINT (12.5309709 41.9200947)
2609646447,41.9202489,12.5313848,3,,,POINT (12.5313848 41.9202489)
2616003733,41.8552025,12.6018627,1,,,POINT (12.6018627 41.8552025)
2622484474,41.9007006,12.6076475,3,,,POINT (12.6076475 41.9007006)
2622484476,41.9008384,12.6076349,3,,,POINT (12.6076349 41.9008384)
2622935123,41.9303105,12.6202204,3,,,POINT (12.6202204 41.9303105)
2622935153,41.9297129,12.6202164,3,,,POINT (12.6202164 41.9297129)
2623234044,41.8610509,12.6191347,3,,,POINT (12.6191347 41.8610509)
2623234048,41.8608133,12.6185062,1,,,POINT (12.6185062 41.8608133)
2623234050,41.8609855,12.6184999,3,,,POINT (12.6184999 41.8609855)
2623234052,41.8612628,12.6184525,1,,,POINT (12.6184525 41.8612628)
2623977405,41.9206127,12.4857754,1,,,POINT (12.4857754 41.9206127)
2627363499,41.73994,12.5004594,1,,,POINT (12.5004594 41.73994)
2627363500,41.7399408,12.5035874,1,,,POINT (12.5035874 41.7399408)
2627725060,41.8703797,12.4972979,1,,,POINT (12.4972979 41.8703797)
2631152100,42.0715294,12.3369267,1,,,POINT (12.3369267 42.0715294)
2631856360,41.9151008,12.3852263,1,,,POINT (12.3852263 41.9151008)
2632624284,41.7887488,12.373066,2,,,POINT (12.373066 41.7887488)
2637652928,41.9459787,12.524785,3,,,POINT (12.524785 41.9459787)
2654993065,41.9172414,12.4098981,3,,,POINT (12.4098981 41.9172414)
2654993068,41.9173564,12.409462,1,,,POINT (12.409462 41.9173564)
2663038345,41.9025235,12.4375936,3,,,POINT (12.4375936 41.9025235)
2671637700,41.8565794,12.5968267,1,,,POINT (12.5968267 41.8565794)
2675940905,41.9158192,12.5065896,3,,,POINT (12.5065896 41.9158192)
2675940907,41.9158458,12.5068198,3,,,POINT (12.5068198 41.9158458)
2676011258,41.9199034,12.5196983,3,,,POINT (12.5196983 41.9199034)
2676011262,41.9199382,12.5202283,3,,,POINT (12.5202283 41.9199382)
2676044589,41.9138248,12.5212533,3,,,POINT (12.5212533 41.9138248)
2676054960,41.9117884,12.5225142,3,,,POINT (12.5225142 41.9117884)
2677125748,41.910428,12.5815821,3,motorway_junction,,POINT (12.5815821 41.910428)
2677125751,41.912398,12.5922908,3,motorway_junction,,POINT (12.5922908 41.912398)
2677125752,41.9127089,12.5919572,3,,,POINT (12.5919572 41.9127089)
2680296438,41.9453111,12.4171978,3,,,POINT (12.4171978 41.9453111)
2680296447,41.9454558,12.417071,3,,,POINT (12.417071 41.9454558)
2680296450,41.9454656,12.4172024,3,,,POINT (12.4172024 41.9454656)
2680296456,41.9455086,12.4172253,3,,,POINT (12.4172253 41.9455086)
2680296467,41.945577,12.4169223,3,,,POINT (12.4169223 41.945577)
2680296472,41.9456021,12.4171554,3,,,POINT (12.4171554 41.9456021)
2680296480,41.945633,12.4169968,3,,,POINT (12.4169968 41.945633)
2687331477,41.8551366,12.4629493,1,,,POINT (12.4629493 41.8551366)
2687713246,41.9231139,12.5425377,3,,,POINT (12.5425377 41.9231139)
2691932575,41.9283329,12.5327049,1,,,POINT (12.5327049 41.9283329)
2692003011,41.8344225,12.4819467,1,,,POINT (12.4819467 41.8344225)
2692624923,41.8820035,12.6183006,3,,,POINT (12.6183006 41.8820035)
2692624935,41.8822017,12.6176004,3,,,POINT (12.6176004 41.8822017)
2692624940,41.8822303,12.6175421,3,,,POINT (12.6175421 41.8822303)
2692624948,41.882266,12.618033,3,,,POINT (12.618033 41.882266)
2692624954,41.8822839,12.6178664,3,,,POINT (12.6178664 41.8822839)
2692624959,41.8823027,12.6176562,3,,,POINT (12.6176562 41.8823027)
2692624960,41.8823139,12.6175048,3,,,POINT (12.6175048 41.8823139)
2692624975,41.8823914,12.6175691,3,,,POINT (12.6175691 41.8823914)
2692624976,41.8824096,12.6177597,3,,,POINT (12.6177597 41.8824096)
2692624990,41.8825631,12.6178612,3,,,POINT (12.6178612 41.8825631)
2692624992,41.8825715,12.6180745,3,,,POINT (12.6180745 41.8825715)
2692624996,41.8825844,12.6180271,3,,,POINT (12.6180271 41.8825844)
2692625009,41.8827217,12.6178992,4,,,POINT (12.6178992 41.8827217)
2692625010,41.8827311,12.6178092,3,,,POINT (12.6178092 41.8827311)
2692625013,41.8829223,12.6173545,1,,,POINT (12.6173545 41.8829223)
2693550282,41.9083877,12.4871625,3,,,POINT (12.4871625 41.9083877)
2696595208,41.9262846,12.5275168,3,,,POINT (12.5275168 41.9262846)
2698557758,41.9078705,12.4727627,3,,,POINT (12.4727627 41.9078705)
2705315520,41.9816721,12.4112427,1,,,POINT (12.4112427 41.9816721)
2706703560,41.9821877,12.4103985,1,turning_loop,,POINT (12.4103985 41.9821877)
2707979173,41.9248301,12.5271353,3,,,POINT (12.5271353 41.9248301)
2717243877,41.8624423,12.5502042,1,,,POINT (12.5502042 41.8624423)
2717921450,41.9053923,12.6855517,3,,,POINT (12.6855517 41.9053923)
2723134598,41.9290018,12.4083582,1,,,POINT (12.4083582 41.9290018)
2723134638,41.9315582,12.4078475,3,,,POINT (12.4078475 41.9315582)
2725962180,41.912629,12.611934,1,,,POINT (12.611934 41.912629)
2728529947,41.9325965,12.5218502,3,crossing,,POINT (12.5218502 41.9325965)
2728529950,41.9326719,12.5219414,3,crossing,,POINT (12.5219414 41.9326719)
2728904702,41.8318112,12.4807677,3,,,POINT (12.4807677 41.8318112)
2728904704,41.8318235,12.4806409,3,,,POINT (12.4806409 41.8318235)
2733000511,41.8822541,12.5199615,1,,,POINT (12.5199615 41.8822541)
2733052129,41.9214593,12.5304412,3,,,POINT (12.5304412 41.9214593)
2747284624,41.8713168,12.5784377,3,,,POINT (12.5784377 41.8713168)
2757932146,41.7411827,12.3403112,3,,,POINT (12.3403112 41.7411827)
2763462935,41.7534916,12.3288782,1,,,POINT (12.3288782 41.7534916)
2763463007,41.754438,12.3295729,1,,,POINT (12.3295729 41.754438)
2763463092,41.7480507,12.3282345,1,,,POINT (12.3282345 41.7480507)
2763463167,41.7536715,12.3294715,3,,,POINT (12.3294715 41.7536715)
2763463171,41.7538256,12.3300365,3,,,POINT (12.3300365 41.7538256)
2763601414,41.7403516,12.3412341,3,,,POINT (12.3412341 41.7403516)
2763601724,41.7389487,12.3444919,1,,,POINT (12.3444919 41.7389487)
