19,41.8971861,12.4727063
20,41.8966629,12.4733201
33,41.9004415,12.4726864
35,41.9002227,12.473814
36,41.8964807,12.4744851
37,41.8963102,12.4758502
38,41.8965258,12.4740314
39,41.9049233,12.4750898
40,41.902029,12.4952304
41,41.9015887,12.494543
42,41.9011203,12.4938275
43,41.9006435,12.4930978
44,41.9002394,12.492499
45,41.8996964,12.491662
46,41.8988284,12.4903418
47,41.8986141,12.4900226
48,41.8973291,12.4880626
49,41.8966625,12.4870163
51,41.9008288,12.4998175
53,41.8992075,12.4980573
54,41.8986723,12.4974872
55,41.8973743,12.4960073
56,41.8946669,12.4932459
59,41.8966841,12.4822238
60,41.9024786,12.4797832
64,41.8998199,12.5123286
65,41.9005342,12.5082356
66,41.9010124,12.5079782
68,41.9027733,12.5070116
70,41.9062237,12.5054854
71,41.908063,12.5046647
94,41.8928151,12.5132546
96,41.8942817,12.5108331
99,41.8971524,12.5103133
114,41.8962536,12.4725344
117,41.8871939,12.4822503
118,41.8862051,12.4835467
131,41.8966132,12.481922
132,41.8962217,12.4826655
133,41.8954624,12.4835075
138,41.8941577,12.4813623
139,41.8948337,12.4810368
142,41.9011702,12.47658
143,41.8903415,12.4744767
147,41.9019611,12.4985377
148,41.9027182,12.4965781
149,41.9035759,12.4960043
150,41.9038935,12.4956409
151,41.8994139,12.4969811
154,41.9046262,12.4967969
157,41.9058649,12.4909766
158,41.9054754,12.4903508
159,41.9053978,12.4902461
160,41.9049804,12.4897186
162,41.9041693,12.4887383
164,41.906392,12.4901881
165,41.9081361,12.4892955
166,41.9091524,12.4885391
168,41.9093843,12.4885886
169,41.9096557,12.4899476
179,41.8894163,12.4746604
180,41.8893139,12.4759117
185,41.8880042,12.4811693
186,41.8913436,12.4785456
187,41.8918221,12.4755279
188,41.8906622,12.479418
189,41.8895083,12.4801859
190,41.8897332,12.4766553
191,41.8882907,12.4748794
192,41.8888976,12.4755381
193,41.8908966,12.4805457
196,41.8881857,12.4832606
197,41.8996171,12.4828423
199,41.889422,12.4775826
200,41.9034322,12.4881602
201,41.8977043,12.4994301
202,41.9051335,12.4770032
265,41.8899577,12.4939955
266,41.8892664,12.49344
270,41.8886438,12.4804499
272,41.8917755,12.4774828
274,41.8923658,12.4774514
275,41.8926914,12.4765508
276,41.8918777,12.4764901
282,41.8923732,12.4748732
294,41.9072608,12.4732515
295,41.9050467,12.473333
303,41.9076901,12.4722852
309,41.9067057,12.4722455
311,41.8900054,12.4969695
312,41.8870807,12.5046256
313,41.8870216,12.5063018
314,41.8867148,12.5086144
315,41.8872264,12.5150391
316,41.8879387,12.5180619
326,41.9005273,12.4962519
327,41.9053842,12.4985698
329,41.9031455,12.5002208
338,41.8848971,12.4891936
339,41.8897416,12.4954411
340,41.8893366,12.4967729
341,41.8882839,12.4949366
342,41.8888021,12.4951178
343,41.8890725,12.4937147
344,41.8885198,12.4964896
345,41.8880152,12.4963225
346,41.8884549,12.4940146
347,41.889721,12.4983846
348,41.88751,12.4961537
349,41.8872789,12.4974414
351,41.888156,12.4977503
358,41.8891593,12.4929289
359,41.8892523,12.4952738
360,41.8889954,12.4966494
361,41.8872325,12.5023137
362,41.8887223,12.497963
376,41.8872756,12.5033048
377,41.8877768,12.4947632
378,41.8861566,12.4951668
379,41.8878649,12.4943104
389,41.8973877,12.5195579
390,41.899907,12.5172249
392,41.9019099,12.5183645
393,41.8872326,12.4976993
451,41.9021943,12.5062512
452,41.9041514,12.5027481
453,41.9017639,12.5056938
456,41.9023712,12.5049506
457,41.908414,12.4999828
459,41.9034916,12.5008945
460,41.9009398,12.50466
461,41.9068441,12.5019145
462,41.9062854,12.5011761
464,41.9013429,12.4975681
465,41.9009055,12.4968766
